Customer_Name,CustID,Revenue,% Total,Profit
MAURICE SHAN,11433,12398.96,0.05%,5069.13
JANET MUNOZ,11439,11977.44,0.05%,4947.78
LISA CAI,11241,11220.31,0.05%,4715.32
LACEY ZHENG,11417,10999.54,0.04%,4601.92
JORDAN TURNER,11420,10947.8,0.04%,4567.52
LARRY MUNOZ,11242,10818.5,0.04%,4485.86
LARRY VAZQUEZ,12655,10385.99,0.04%,4217.19
KATE ANAND,13263,10357.49,0.04%,4198.44
AARON WRIGHT,12650,10305.6,0.04%,4159.91
CLARENCE GAO,12631,10290.49,0.04%,4174.86
BONNIE NATH,12632,10282.91,0.04%,4165.86
ARIANA GRAY,11425,10278.36,0.04%,4334.83
ETHAN BRYANT,13405,10269.58,0.04%,4161.77
MARCO LOPEZ,11429,10219.79,0.04%,4275.53
RICKY VAZQUEZ,11245,10069.99,0.04%,4229.74
CLARENCE ANAND,11237,10056.02,0.04%,4221
DEANNA PEREZ,11428,9703.99,0.04%,4031.06
DESIREE DOMINGUEZ,11427,9666.37,0.04%,4029.46
BRYANT GARCIA,11431,9664.39,0.04%,4034.39
JASMINE STEWART,11423,9657.38,0.04%,4031.68
CINDY PATEL,11249,9642.11,0.04%,4003.09
SYDNEY BRYANT,11412,9630.67,0.04%,4013.05
AMY SUN,11421,9534.15,0.04%,3951.74
KATRINA TANG,14186,9284.61,0.04%,3769.53
KAITLYN HENDERSON,12132,9206.97,0.04%,3739.3
NICHOLE NARA,12301,9202.54,0.04%,3718.16
GABRIELLA COLLINS,13592,9184.02,0.04%,3706.55
MARGARET HE,12308,9178.39,0.04%,3717.68
RANDALL DOMINGUEZ,12131,9174.09,0.04%,3701.26
ADRIANA GONZALEZ,12300,9152.72,0.04%,3701.64
ROSA HU,12321,9126.65,0.04%,3687.11
GERRIT STRAATSMA,13605,9107.05,0.04%,3661.51
BRANDI GILL,12124,9106.64,0.04%,3674.59
BRAD SHE,12307,9084.95,0.04%,3662
FRANCISCO SARA,12296,9076.99,0.04%,3655.47
FRANK VAZQUEZ,14185,9013.97,0.04%,3704
ALICIA SHEN,13575,8949.15,0.04%,3642.04
THEODORE TORRES,13577,8942.64,0.04%,3658.79
RONALD KAPOOR,14192,8939.85,0.04%,3651.43
COLLEEN GOEL,14200,8911.55,0.04%,3635.62
COLE STEWART,13595,8881.5,0.04%,3621.08
KRISTY MUNOZ,12128,8430.49,0.03%,3532.5
DIANA ORTEGA,12125,8345.49,0.03%,3501.89
WENDY ALVAREZ,12129,8307.14,0.03%,3475.42
SHANNON NAVARRO,15106,8171.36,0.03%,3327.98
BONNIE XIE,14775,8155.12,0.03%,3329.15
RYAN GARCIA,15692,8141.03,0.03%,3330.94
MORGAN BENNETT,15097,8131.2,0.03%,3327.36
CORY KAPOOR,14939,8120.06,0.03%,3320.95
CARMEN RANA,14940,8118.98,0.03%,3316.01
JOSE SARAIVA,14207,8111.03,0.03%,3309.13
ISABELLA WARD,14830,8096.36,0.03%,3302.41
JULIAN HENDERSON,15691,8092.37,0.03%,3296.88
VICTOR CARLSON,14425,8082.38,0.03%,3293.66
ADRIANA CHANDRA,14181,8077.39,0.03%,3287.51
BRUCE GOMEZ,15695,8077,0.03%,3294
CASSIE ANDERSEN,14428,8075.42,0.03%,3292.45
MADISON HUGHES,14426,8073.41,0.03%,3291.19
MEAGAN MADAN,11767,8072.68,0.03%,3482.28
KRISTA MARTIN,14189,8067.4,0.03%,3284.29
DAISY ROMERO,14198,8062.7,0.03%,3284.48
EVELYN CHANDRA,15080,8056.38,0.03%,3274.36
NELSON ORTEGA,15118,8055.07,0.03%,3277.24
COREY KUMAR,15354,8051.05,0.03%,3274.73
CANDACE RAMAN,11766,8029.27,0.03%,3428.12
MONICA VANCE,12338,8019.11,0.03%,3454.37
BYRON CARLSON,11900,8006.74,0.03%,3414.93
AUDREY MUNOZ,12003,8005.29,0.03%,3417.82
RUBEN MUNOZ,11451,8002.25,0.03%,3439.66
KELVIN CARSON,11995,7999.5,0.03%,3432.77
STACY ALVAREZ,11901,7999.44,0.03%,3433.64
MAX ALVAREZ,11986,7996.66,0.03%,3431.9
RANDALL GOMEZ,11762,7979.44,0.03%,3399.74
JON GAO,11456,7976.28,0.03%,3422.49
ANN GONZALEZ,11894,7973.08,0.03%,3422.41
VICTORIA GONZALES,11751,7966.45,0.03%,3391.62
KAYLEE COOK,11904,7966.32,0.03%,3394.89
BONNIE JAI,11977,7963.93,0.03%,3411.42
RICARDO NATH,12039,7963.88,0.03%,3418.53
JAIME GUTIERREZ,11457,7962.73,0.03%,3383.03
KAYLEE HILL,11918,7956.07,0.03%,3404.02
ORLANDO ASHE,11897,7954.43,0.03%,3388.92
MAX SERRANO,12010,7950.72,0.03%,3393.75
ANN MARTINEZ,12009,7945.97,0.03%,3404.09
BRENDA PEREZ,11899,7942.67,0.03%,3384.23
ASHLEY RUSSELL,12000,7937.11,0.03%,3398.32
ERIKA RUBIO,11452,7936.8,0.03%,3400.38
JOE RANA,11916,7929.94,0.03%,3394.85
ANGELA HENDERSON,11898,7929.11,0.03%,3390.18
STANLEY MALHOTRA,11453,7927.06,0.03%,3393.61
SHARON SALAVARIA,11964,7926.7,0.03%,3390.9
WARREN ANDERSEN,11919,7925.63,0.03%,3395.85
RANDY XU,11969,7924.45,0.03%,3386.7
DOROTHY ROBINSON,11952,7920.43,0.03%,3367.52
LEAH HU,11994,7919.11,0.03%,3388.63
MEAGAN RANA,11914,7918.72,0.03%,3392.09
KENNETH KUMAR,11472,7914.96,0.03%,3380.41
GEORGE MCDONALD,11394,7913.4,0.03%,3379.78
JOANNA VAZQUEZ,11990,7912.74,0.03%,3385.2
JANET ORTEGA,11754,7912.67,0.03%,3378.98
LOUIS LUO,11465,7909.47,0.03%,3355.95
ANDRE PEREZ,11491,7908.09,0.03%,3381.73
ISAIAH RAMIREZ,11905,7907.41,0.03%,3380.75
ADRIENNE GOMEZ,11920,7906.4,0.03%,3380.67
LATASHA MUNOZ,11967,7905.43,0.03%,3381.3
EDGAR MEHTA,11761,7902.31,0.03%,3373.16
LATOYA SHE,11750,7902.13,0.03%,3376.43
GABRIELLA SANDERS,11906,7901.08,0.03%,3377.34
DUSTIN CHANDER,11895,7899.12,0.03%,3376.12
MARC TORRES,11765,7897.14,0.03%,3356.64
ADRIANA LOPEZ,12002,7896.76,0.03%,3374.08
KARA ANAND,11989,7893.64,0.03%,3375.83
ROSS SANZ,11455,7893.11,0.03%,3347.95
ADRIENNE TORRES,11482,7893.11,0.03%,3372.36
PHILIP CARLSON,11915,7893.08,0.03%,3372.33
TASHA DENG,11459,7891.41,0.03%,3366.58
MELVIN CHANDE,11460,7890.69,0.03%,3368.36
SARAH GARCIA,11907,7889.44,0.03%,3347.11
CLAYTON NARA,11768,7889.12,0.03%,3365.15
DUSTIN GOLDSTEIN,12337,7887.74,0.03%,3358.78
ROSA WANG,11993,7884.08,0.03%,3370.4
JESSIE RAMOS,11764,7881.78,0.03%,3364.25
ALEJANDRO HUANG,11464,7881.68,0.03%,3367.42
FREDERICK MARTINEZ,11991,7878.1,0.03%,3362.96
DEBORAH GOEL,11489,7877.65,0.03%,3358.73
ROY SANZ,11917,7875.44,0.03%,3359.72
ORLANDO CARLSON,11893,7874.46,0.03%,3360.12
TONYA CHANDE,11992,7874.11,0.03%,3352.72
JULIO ORTEGA,11892,7870.46,0.03%,3352.9
FRANK CARLSON,11896,7869.4,0.03%,3356.96
LAURA LIN,11462,7867.76,0.03%,3355.92
COLIN NATH,11398,7866.8,0.03%,3354.88
SHANNON YANG,12001,7865.42,0.03%,3356.25
JACLYN ZHENG,11910,7864.46,0.03%,3353.86
JARROD SURI,12004,7864.12,0.03%,3354.21
KATE RAJI,11903,7862.15,0.03%,3334.74
NICHOLE SHE,11909,7858.07,0.03%,3354.12
RACHAEL SAI,11912,7846.75,0.03%,3342.77
MELINDA NAVARRO,11454,7841.8,0.03%,3343.94
VICTOR JIMENEZ,11461,7841.8,0.03%,3343.94
JERMAINE LOPEZ,11488,7841.41,0.03%,3336.96
AUDREY RAMOS,11976,7841.07,0.03%,3340.45
KELSEY BECKER,11968,7833.16,0.03%,3333.26
LINDA ORTEGA,11756,7831.78,0.03%,3334.63
KATHRYN CHAPMAN,11988,7831.78,0.03%,3334.63
RAFAEL TANG,11908,7830.48,0.03%,3332.59
DAWN NATH,11759,7808.16,0.03%,3322.32
KEVIN COLEMAN,12302,7722.92,0.03%,3302.61
JOHNATHAN SURI,12291,7697.36,0.03%,3275.33
CRYSTAL ZENG,12298,7683.26,0.03%,3269.86
FELICIA BLANCO,12297,7650.69,0.03%,3271.75
JILL SUAREZ,12314,7630.63,0.03%,3272.95
SUZANNE ZHOU,12130,7618.94,0.03%,3237.52
PRESTON RAMAN,12330,7566.53,0.03%,3231.35
ABBY SUBRAM,13256,7244.96,0.03%,3117.6
LANCE BLANCO,13255,7143.14,0.03%,3057.57
AUDREY BLANCO,12657,7134.18,0.03%,3051.97
MARTIN SURI,16589,7093.77,0.03%,2902.83
RICKY NAVARRO,17221,7046.07,0.03%,2873.63
JARROD MEHTA,17114,7024.74,0.03%,2854.68
EDDIE DOMINGUEZ,17184,7003.43,0.03%,2846.28
MOLLY MADAN,15623,6998.3,0.03%,2842.51
EDUARDO ROBINSON,16263,6997.47,0.03%,2824.31
STACY RUIZ,16823,6996.46,0.03%,2845.06
DOMINIQUE PRASAD,11432,6995.6,0.03%,2893.76
KURT RAHEEM,16196,6988.79,0.03%,2815.18
CHERYL JIMENEZ,17198,6982.87,0.03%,2819.1
KRISTIN JAI,15085,6981.56,0.03%,2821.98
ANDREW JONES,16594,6981.45,0.03%,2832.52
CRAIG NAVARRO,15357,6981.1,0.03%,2832.86
JORDAN SHAN,16207,6977.21,0.03%,2819.82
SUSAN ZHOU,15678,6976.75,0.03%,2806.4
TODD WANG,15676,6974.76,0.03%,2828.33
MARY CARTER,16821,6972.76,0.03%,2831.34
MACKENZIE RAMIREZ,15116,6964.33,0.03%,2822.13
DAMIEN LIU,17214,6962.82,0.03%,2820.3
ASHLEE DENG,14791,6962.67,0.03%,2823.55
THEODORE VAZQUEZ,16831,6960.48,0.03%,2822.53
JAY ALONSO,15675,6960.14,0.03%,2819.85
COREY ANAND,16565,6956.42,0.03%,2820.55
CINDY LEWIS,16206,6955.76,0.03%,2817.67
JULIAN WOOD,18166,6954.48,0.03%,2797.4
ALYSSA BRADLEY,15677,6951.35,0.03%,2812.2
VINCENT SUN,16585,6945.15,0.03%,2813.5
BRENT ZHANG,18173,6942.76,0.03%,2806.5
